block_path,block_type,mask_type,parameter,value,value_class
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/tri",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant1/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant1/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant2/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant2/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant2/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant2/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant3/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant3/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant3/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Compare
To Constant3/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/CurrentLimit_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Data Type Conversion1",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/ILi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Logical
Operator2",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Logical
Operator3",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Logical
Operator4",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Logical
Operator5",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/NQmin_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Qi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Ton_done_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Ton_iqcot2",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/tri",Inport,,SampleTime,"-1",numeric_literal
