variant,event_index,time_us,REQ_phase,REQ_accept_phase
R3-E2,154,73.807000000007,1,1
R3-E2,155,74.288000000007,2,2
R3-E2,156,74.769000000007,3,3
R3-E2,157,75.2500000000069,4,4
R3-E2,158,75.7310000000069,1,1
R3-E2,159,76.2120000000001,2,2
R3-E2,160,76.6930000000001,3,3
R3-E2,161,77.174000000007,4,4
R3-E2,162,77.655000000007,1,1
R3-E2,163,78.136000000007,2,2
R3-E2,164,78.617000000007,3,3
R3-E2,165,79.0980000000069,4,4
R3-E2,166,79.5790000000001,1,1
R3-E2,167,80.0600000000001,2,2
R3-E2,168,80.541000000007,3,3
R3-E2,169,81.022000000007,4,4
R3-E2,170,81.503000000007,1,1
R3-E2,171,81.9840000000069,2,2
R3-E2,172,82.4650000000001,3,3
R3-E2,173,82.9460000000001,4,4
R3-E2,174,83.427000000007,1,1
R3-E2,175,83.908000000007,2,2
R3-E2,176,84.389000000007,3,3
R3-E2,177,84.870000000007,4,4
R3-E2,178,85.3510000000069,1,1
R3-E2,179,85.8320000000001,2,2
R3-E2,180,86.3130000000001,3,3
R3-E2,181,86.794000000007,4,4
R3-E2,182,87.275000000007,1,1
R3-E2,183,87.756000000007,2,2
R3-E2,184,88.237000000007,3,3
R3-E2,185,88.7180000000069,4,4
R3-E2,186,89.1990000000001,1,1
R3-E2,187,89.6800000000001,2,2
R3-E3,1,0.214000000000063,4,4
R3-E3,2,0.695000000000047,1,1
R3-E3,3,1.1760000000035,2,2
R3-E3,4,1.65700000000348,3,3
R3-E3,5,2.13800000000005,4,4
R3-E3,6,2.61900000000004,1,1
R3-E3,7,3.10000000000349,2,2
R3-E3,8,3.58100000000006,3,3
R3-E3,9,4.06200000000004,4,4
R3-E3,10,4.5430000000035,1,1
R3-E3,11,5.02400000000007,2,2
R3-E3,12,5.50500000000005,3,3
R3-E3,13,5.9860000000035,4,4
R3-E3,14,6.46700000000349,1,1
R3-E3,15,6.94800000000006,2,2
R3-E3,16,7.42900000000004,3,3
R3-E3,17,7.91000000000349,4,4
R3-E3,18,8.39100000000006,1,1
R3-E3,19,8.87200000000005,2,2
R3-E3,20,9.3530000000035,3,3
R3-E3,21,9.83400000000348,4,4
R3-E3,22,10.3150000000001,1,1
R3-E3,23,10.796,2,2
R3-E3,24,11.2770000000035,3,3
R3-E3,25,11.7580000000001,4,4
R3-E3,26,12.239,1,1
R3-E3,27,12.7200000000035,2,2
R3-E3,28,13.2010000000001,3,3
R3-E3,29,13.6820000000001,4,4
R3-E3,30,14.1630000000035,1,1
R3-E3,31,14.6440000000035,2,2
R3-E3,32,15.1250000000001,3,3
R3-E3,33,15.606,4,4
R3-E3,34,16.0870000000035,1,1
R3-E3,35,16.5680000000001,2,2
R3-E3,36,17.049,3,3
R3-E3,37,17.5300000000035,4,4
R3-E3,38,18.0110000000035,1,1
R3-E3,39,18.4920000000001,2,2
R3-E3,40,18.9730000000035,3,3
R3-E3,41,19.4540000000035,4,4
R3-E3,42,19.9350000000001,1,1
R3-E3,43,20.416,2,2
R3-E3,44,20.8970000000035,3,3
R3-E3,45,21.3780000000001,4,4
R3-E3,46,21.859,1,1
R3-E3,47,22.3400000000035,2,2
R3-E3,48,22.8210000000035,3,3
R3-E3,49,23.3020000000001,4,4
R3-E3,50,23.783,1,1
R3-E3,51,24.2640000000035,2,2
R3-E3,52,24.7450000000001,3,3
R3-E3,53,25.226,4,4
R3-E3,54,25.7070000000035,1,1
R3-E3,55,26.1880000000001,2,2
R3-E3,56,26.6690000000001,3,3
R3-E3,57,27.1500000000035,4,4
R3-E3,58,27.6310000000035,1,1
R3-E3,59,28.1120000000001,2,2
R3-E3,60,28.593,3,3
R3-E3,61,29.0740000000035,4,4
R3-E3,62,29.5550000000001,1,1
R3-E3,63,30.036,2,2
R3-E3,64,30.5170000000035,3,3
R3-E3,65,30.9980000000035,4,4
R3-E3,66,31.4790000000001,1,1
R3-E3,67,31.96,2,2
R3-E3,68,32.4410000000035,3,3
R3-E3,69,32.9220000000001,4,4
R3-E3,70,33.403,1,1
R3-E3,71,33.8840000000035,2,2
R3-E3,72,34.3650000000001,3,3
R3-E3,73,34.8460000000001,4,4
R3-E3,74,35.3270000000035,1,1
R3-E3,75,35.8080000000035,2,2
R3-E3,76,36.2890000000001,3,3
R3-E3,77,36.77,4,4
R3-E3,78,37.2510000000035,1,1
R3-E3,79,37.7320000000001,2,2
R3-E3,80,38.2130000000001,3,3
R3-E3,81,38.694000000007,4,4
R3-E3,82,39.175000000007,1,1
R3-E3,83,39.6560000000069,2,2
