event_index,event_time,phase_idx,A_before_tr,Lambda_i,A_minus_Lambda,h_mean_since_last_event,period
200.0,0.00010376,0.0,3.42183294339244e-10,3e-10,4.218329433924399e-11,0.0009642613331590535,5.200000000000018e-07
201.0,0.000104242,1.0,3.34972056509826e-10,3e-10,3.497205650982598e-11,0.001062120532159754,4.819999999999998e-07
202.0,0.00010476,2.0,3.24847510531221e-10,3e-10,2.484751053122102e-11,0.0009469068439315081,5.18000000000011e-07
203.0,0.000105242000000001,3.0,3.52594380988594e-10,3e-10,5.259438098859399e-11,0.001100770080463748,4.820000000009891e-07
204.0,0.000105724000000001,0.0,3.17640534244446e-10,3e-10,1.7640534244446e-11,0.0010098329455582996,4.819999999999998e-07
205.0,0.00010624,1.0,3.05291545954938e-10,3e-10,5.2915459549379816e-12,0.0009072014781338047,5.159999999990037e-07
206.0,0.0001068,2.0,3.17824983783112e-10,3e-10,1.782498378311198e-11,0.0008418788615600473,5.599999999999946e-07
207.0,0.000107282000000001,3.0,4.41661106007326e-10,3e-10,1.4166110600732599e-10,0.0012821764837048538,4.820000000010027e-07
208.0,0.000108246000000001,1.0,4.1042099525779e-10,3e-10,1.1042099525779001e-10,0.0012605992131350374,9.639999999999996e-07
209.0,0.000108728000000001,2.0,3.4511669978635e-10,3e-10,4.511669978634998e-11,0.0010802261312108136,4.819999999999998e-07
210.0,0.000109210000000001,3.0,3.53644467717931e-10,3e-10,5.3644467717931e-11,0.0010955530107256747,4.819999999999998e-07
211.0,0.000109692000000001,0.0,3.08449046240242e-10,3e-10,8.44904624024198e-12,0.0010280713446341981,4.819999999999998e-07
212.0,0.00011024,1.0,3.21130531488546e-10,3e-10,2.1130531488545987e-11,0.0008791843544057955,5.479999999990061e-07
213.0,0.000111242000000001,3.0,3.65540898057196e-10,3e-10,6.554089805719603e-11,0.001011422055180271,1.0020000000010045e-06
214.0,0.000111724000000001,0.0,3.47247667068688e-10,3e-10,4.724766706868799e-11,0.0010803895319678384,4.819999999999998e-07
