"variant","event_index","time_us","REQ_phase","REQ_accept_phase","phase_idx","REQ_reject_reason","model_phase_order_error_sample","active_HS_phase"
"A5-T3","118","71.2","4","4","3","0","1","0"
"A5-T3","119","71.76","1","1","0","0","0","0"
"A5-T3","120","72.4800000000001","2","2","1","0","0","0"
"A5-T3","121","72.9620000000001","3","3","2","0","0","0"
"A5-T3","122","73.48","4","4","3","0","1","0"
"A5-T3","123","74.2400000000001","1","1","0","0","0","0"
"A5-T3","124","74.722000000007","2","2","1","0","0","0"
"A5-T3","125","75.36","3","3","2","0","1","0"
"A5-T3","126","75.8420000000069","4","4","3","0","0","0"
"A5-T3","127","76.6","1","1","0","0","1","0"
"A5-T3","128","77.082000000007","2","2","1","0","0","0"
"A5-T3","129","77.7200000000001","3","3","2","0","1","0"
"A5-T3","130","78.2020000000001","4","4","3","0","0","0"
"A5-T3","131","78.92","1","1","0","0","1","0"
"A5-T3","132","79.48","2","2","1","0","0","0"
"A5-T3","133","80.0800000000001","3","3","2","0","0","0"
"A5-T3","134","80.562000000007","4","4","3","0","0","0"
"A5-T3","135","81.3200000000001","1","1","0","0","1","0"
"A5-T3","136","81.8020000000001","2","2","1","0","0","0"
"A5-T3","137","82.44","3","3","2","0","1","0"
"A5-T3","138","82.9600000000001","4","4","3","0","0","0"
"A5-T3","139","83.6000000000001","1","1","0","0","0","0"
"A5-T3","140","84.2800000000001","2","2","1","0","0","0"
"A5-T3","141","84.762000000007","3","3","2","0","0","0"
"A5-T3","142","85.3200000000001","4","4","3","0","1","0"
"A5-T3","143","85.9600000000001","1","1","0","0","0","0"
"A5-T3","144","86.6000000000001","2","2","1","0","0","0"
"A5-T3","145","87.082000000007","3","3","2","0","0","0"
"A5-T3","146","87.7600000000001","4","4","3","0","1","0"
"A5-T3","147","88.2420000000001","1","1","0","0","0","0"
"A5-T3","148","89.0800000000001","2","2","1","0","1","0"
"A5-T3","149","89.562000000007","3","3","2","0","0","0"
"A5-T4","1","2.80000000000001","3","3","2","0","0","0"
