target_load_A,target_label,objective,ref_slew_us,interp_score,interp_undershoot_mV,interp_settle_time_us,interp_phase_spacing_std_ns,interp_skip_count_est
20.0,20A,score_settle010,61.0,5.2280711280450785,1.124250020716342,10.279399999999999,36.92408907823015,0.95
20.0,20A,base,62.0,4.0986879756061185,1.122676851291924,10.4968,36.9354539756678,0.9
20.0,20A,score_settle005,62.0,4.623527975606118,1.122676851291924,10.4968,36.9354539756678,0.9
20.0,20A,score_settle010,62.0,5.148367975606118,1.122676851291924,10.4968,36.9354539756678,0.9
20.0,20A,base,63.0,3.997244823167157,1.121103681867506,10.7142,36.94681887310545,0.85
20.0,20A,score_settle005,63.0,4.532954823167157,1.121103681867506,10.7142,36.94681887310545,0.85
20.0,20A,score_settle010,63.0,5.068664823167156,1.121103681867506,10.7142,36.94681887310545,0.85
20.0,20A,base,64.0,3.895801670728196,1.119530512443088,10.9316,36.9581837705431,0.8
20.0,20A,score_settle005,64.0,4.442381670728196,1.119530512443088,10.9316,36.9581837705431,0.8
20.0,20A,score_settle010,64.0,4.988961670728196,1.119530512443088,10.9316,36.9581837705431,0.8
20.0,20A,base,65.0,3.794358518289235,1.11795734301867,11.149000000000001,36.969548667980746,0.75
20.0,20A,score_settle005,65.0,4.351808518289235,1.11795734301867,11.149000000000001,36.969548667980746,0.75
20.0,20A,score_settle010,65.0,4.909258518289235,1.11795734301867,11.149000000000001,36.969548667980746,0.75
20.0,20A,base,66.0,3.692915365850274,1.1163841735942521,11.366399999999999,36.9809135654184,0.7
20.0,20A,score_settle005,66.0,4.261235365850274,1.1163841735942521,11.366399999999999,36.9809135654184,0.7
20.0,20A,score_settle010,66.0,4.829555365850274,1.1163841735942521,11.366399999999999,36.9809135654184,0.7
20.0,20A,base,67.0,3.591472213411313,1.114811004169834,11.5838,36.99227846285605,0.65
20.0,20A,score_settle005,67.0,4.170662213411313,1.114811004169834,11.5838,36.99227846285605,0.65
20.0,20A,score_settle010,67.0,4.749852213411313,1.114811004169834,11.5838,36.99227846285605,0.65
20.0,20A,base,68.0,3.490029060972352,1.1132378347454162,11.8012,37.0036433602937,0.6
