case,rho,detection_delay_ns,sigma_area,v_min_after_mV,v_max_after_mV,v_pp_high_mV,v_mean_pre_V,v_mean_high_V,v_mean_post_V,period_mean_us,period_std_ns,pre_period_mean_us,pre_period_std_ns,high_period_mean_us,high_period_std_ns,post_period_mean_us,post_period_std_ns,duty_mean,duty_std,event_count,kp_vc,objective,unconstrained_objective,feasible
rho+0.00_kp0.08_sig0e+00,0.0,0.0,0.0,-28.43493831774535,17.313550850827532,16.36142127062856,1.0006029274385397,0.9804916371720738,1.014401960018007,2.0350592105263154,30.839084384795715,2.0322758620689654,0.6896551724143707,2.0554318181818183,6.0674156819724905,2.0082318840579716,3.149165647657495,0.08359122992062878,0.0011187748657235457,392,0.08,44.40176987423243,35.360358658076365,False
rho+0.00_kp0.08_sig8e-12,0.0,0.0,8e-12,-28.45285035615719,17.32590866259254,16.35351993614642,1.0005836593857595,0.9804916453026117,1.0144094359341638,2.0350592105263154,30.910254973627282,2.0322758620689654,1.8735279596174044,2.055409090909092,6.275197142206433,2.008144927536231,3.5763934643897124,0.08359131976612927,0.001122102246530274,392,0.08,44.908163093181045,35.383213821194204,False
rho+0.00_kp0.12_sig0e+00,0.0,0.0,0.0,-20.113487486511538,9.665411425040071,9.374813750137267,1.0004951652779481,0.9851786004321051,1.008059380982083,2.034736842105263,31.019250568270838,2.032482758620689,0.8558395617946508,2.0471363636363633,3.1593361579112367,2.0187428571428567,1.4802095825163204,0.08360426231590197,0.0011259686860882665,392,0.12,29.031629047324724,23.979652056527566,True
rho+0.00_kp0.12_sig8e-12,0.0,0.0,8e-12,-20.13916840997576,9.6810194831487,9.382765344985833,1.000482166995846,0.985176799378858,1.00806742573271,2.0347368421052634,31.145401122482834,2.0324137931034483,2.189587291915614,2.0471136363636355,3.641402758499802,2.018714285714285,2.2686865749786134,0.08360419739059151,0.0011313149042988392,392,0.12,29.757599890854415,24.01157620323524,True
rho+0.00_kp0.16_sig0e+00,0.0,0.0,0.0,-15.654007302711825,6.304079528367756,6.268599477382786,1.0004085229775623,0.9880607005481383,1.0051757327669486,2.033960526315789,34.15095775395633,2.0326896551724136,0.9506240518693585,2.041727272727272,2.048986849015619,2.0237971014492744,1.084538372973613,0.0836371612745453,0.0012496191691672212,392,0.16,21.581442297539432,18.175639114058928,True
rho+0.00_kp0.16_sig8e-12,0.0,0.0,8e-12,-15.644886047514351,6.26756416662122,6.272206072076236,1.0003950738780094,0.9880601942328365,1.0051842403047428,2.0339539473684205,34.273059624100235,2.032620689655172,1.9012481037378357,2.041727272727272,2.6659778724729724,2.0237971014492744,2.0186069966933884,0.08363731128884773,0.0012544819056961535,392,0.16,22.202142118754338,18.15191171416284,True
rho+0.00_kp0.24_sig0e+00,0.0,0.0,0.0,-11.188017113851867,3.6868385878261467,3.675245452710585,1.000287508853554,0.9913999126239403,1.0026824817479167,2.0325049180327874,42.106431992718186,2.032896551724138,0.9946348346050949,2.0353636363636363,1.2984415324602234,2.0283478260869567,0.9604661753990955,0.08370703402535173,0.0015690498571378493,393,0.24,14.846259495187834,12.662752548982326,True
rho+0.00_kp0.24_sig8e-12,0.0,0.0,8e-12,-11.197654439242367,3.6898526218041017,3.7060736652625437,1.0002820078631756,0.9913982640750045,1.0026869924890984,2.0325049180327874,42.15125934462194,2.0328275862068965,2.320359150517669,2.0353863636363636,2.202435729026925,2.0283478260869567,1.7010319711394626,0.08370692732354888,0.0015721412068924385,393,0.24,15.798120457076694,12.673595487964008,False
rho+0.00_kp0.32_sig0e+00,0.0,0.0,0.0,-9.167517622331257,2.8856135007133688,2.734739759493565,1.000215031282792,0.9932754482491303,1.0016515468854594,2.0314622950819676,49.50799956534191,2.0331034482758628,0.9946348346076224,2.031772727272727,1.0630923239616823,2.030289855072463,0.7820717427985323,0.08376899050904742,0.0019306053472111053,393,0.32,12.123692917589912,10.321763022616604,True
rho+0.00_kp0.32_sig8e-12,0.0,0.0,8e-12,-9.167172901287213,2.885751156923577,2.746385907560933,1.0002104986929605,0.9932739296489962,1.0016563068497566,2.031449180327869,49.47234572093332,2.03296551724138,2.442197408222922,2.0317954545454544,2.3362707799029967,2.030289855072463,2.316302959309821,0.08376901501755961,0.0019313886779322713,393,0.32,13.321620401542392,10.321473364056644,False
