success,source_grid,target_load_A,ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score,score_settle005,score_settle010,target_label,load_drop_A,load_drop_norm,objective,alpha_settle,objective_score,t_scaled,phase_std_scaled,settle_scaled,skip_risk,bias,t2,alpha_t,alpha_t2,drop_t,drop_t2,is_20A,is_10A,is_near0A,skip_t,phase_t,settle_alpha
True,dense_long,0.001,30,11.5919004786901,-0.560538190342741,2,14.796,107.601256046834,18.3044637899695,19.0442637899695,19.7840637899695,near0A,39.999,0.9999750000000001,score_settle005,0.05,19.0442637899695,-0.75,1.07601256046834,0.29591999999999996,2,1.0,0.5625,-0.037500000000000006,0.028125,-0.74998125,0.5624859375,0.0,0.0,1.0,-1.5,-0.807009420351255,0.014795999999999998
True,fine,0.001,32,11.2555329077273,-0.546899821297075,3,19.3560000000001,86.91105946832,19.5406539183908,20.508453918390803,21.47625391839081,near0A,39.999,0.9999750000000001,score_settle005,0.05,20.508453918390803,-0.7,0.8691105946832001,0.387120000000002,3,1.0,0.48999999999999994,-0.034999999999999996,0.024499999999999997,-0.6999825,0.48998774999999994,0.0,0.0,1.0,-2.0999999999999996,-0.60837741627824,0.019356000000000102
True,fine,0.001,34,11.1577654442028,-0.574372297952874,2,19.4220000000001,115.875422917873,18.0496462005131,19.020746200513102,19.99184620051311,near0A,39.999,0.9999750000000001,score_settle005,0.05,19.020746200513102,-0.65,1.15875422917873,0.388440000000002,2,1.0,0.42250000000000004,-0.0325,0.021125000000000005,-0.6499837500000001,0.42248943750000006,0.0,0.0,1.0,-1.3,-0.7531902489661746,0.019422000000000102
True,fine,0.001,35,11.0926204577509,-0.557119158390962,2,19.444,103.952842906669,17.7287964742753,18.7009964742753,19.6731964742753,near0A,39.999,0.9999750000000001,score_settle005,0.05,18.7009964742753,-0.625,1.03952842906669,0.38888,2,1.0,0.390625,-0.03125,0.01953125,-0.624984375,0.390615234375,0.0,0.0,1.0,-1.25,-0.6497052681666813,0.019444000000000003
True,fine,0.001,36,11.0600579649683,-0.5650307262276,2,19.506,116.025989773311,17.9456084866622,18.9209084866622,19.8962084866622,near0A,39.999,0.9999750000000001,score_settle005,0.05,18.9209084866622,-0.6,1.16025989773311,0.39012,2,1.0,0.36,-0.03,0.018,-0.599985,0.359991,0.0,0.0,1.0,-1.2,-0.696155938639866,0.019506000000000003
True,fine,0.001,38,10.9624104996224,-0.553701959433051,2,21.702,93.1497017462465,17.3791064939804,18.464206493980402,19.549306493980403,near0A,39.999,0.9999750000000001,score_settle005,0.05,18.464206493980402,-0.55,0.931497017462465,0.43404000000000004,2,1.0,0.30250000000000005,-0.027500000000000004,0.015125000000000003,-0.5499862500000001,0.30249243750000004,0.0,0.0,1.0,-1.1,-0.5123233596043558,0.021702000000000003
True,dense_long,0.001,40,10.8973455449204,-0.569288775414734,2,21.8220000000001,110.846160114824,17.6835575226316,18.7746575226316,19.8657575226316,near0A,39.999,0.9999750000000001,score_settle005,0.05,18.7746575226316,-0.5,1.10846160114824,0.436440000000002,2,1.0,0.25,-0.025,0.0125,-0.49998750000000003,0.24999375000000001,0.0,0.0,1.0,-1.0,-0.55423080057412,0.0218220000000001
True,dense_long,0.001,50,10.5724213755286,-0.576715565457575,2,27.03,107.871170356059,17.3065603481074,18.6580603481074,20.0095603481074,near0A,39.999,0.9999750000000001,score_settle005,0.05,18.6580603481074,-0.25,1.07871170356059,0.5406,2,1.0,0.0625,-0.0125,0.003125,-0.24999375000000001,0.062498437500000004,0.0,0.0,1.0,-0.5,-0.2696779258901475,0.02703
True,dense_long,0.001,60,10.4520288239951,-0.543378455996946,2,35.33,90.2632695423331,16.8006726708387,18.5671726708387,20.3336726708387,near0A,39.999,0.9999750000000001,score_settle005,0.05,18.5671726708387,0.0,0.902632695423331,0.7066,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03533
True,fine,0.001,62,10.3453721452725,-0.566089238299483,2,35.97,115.15068669718,17.2144751175156,19.0129751175156,20.811475117515602,near0A,39.999,0.9999750000000001,score_settle005,0.05,19.0129751175156,0.05,1.1515068669718,0.7193999999999999,2,1.0,0.0025000000000000005,0.0025000000000000005,0.00012500000000000003,0.04999875000000001,0.0024999375000000004,0.0,0.0,1.0,0.1,0.057575343348590005,0.035969999999999995
