case,severity,tau_ai_us,delay_events,update_us,update_events,policy,seed,reward,max_abs_v_mV,max_abs_phase_ns,max_abs_i_mA,violations,skip_events,projected_count,control_energy,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,settle_us,final_abs_v_mV,final_abs_phase_ns,final_abs_i_mA
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,38,-72.91986255175239,7.451047640010938,105.68899390654875,319.42407357701956,0,0,0,0.0,0.1632403332706938,5.773581311335546,5.956347354856121,47.0,0.026615091209456623,0.7417395686360089,9.290596113922613
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,39,-64.35746232815286,6.610589640490755,106.47339313935386,316.404608473075,0,0,0,0.0,0.1410743757167423,6.0964093393219265,5.535455834289777,45.5,0.17207100167033437,0.8679661367162436,0.40873451073388345
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,40,-51.48013822712193,5.725634754715039,99.65331709895733,283.4959872618,0,0,0,0.0,0.11209163016978559,5.459427996050956,4.66489882017435,45.0,0.022588482559160156,0.537583381291356,4.32768693581458
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,41,-57.15776616553516,5.954389801782937,106.33559473860434,309.75758567527237,0,0,0,0.0,0.1225311274666726,5.5712894894542675,5.220380107660081,46.5,0.0989807750729722,0.5567432669961611,5.376397253055679
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,42,-65.13383852936863,6.899593839148772,99.80007946879752,336.265791853226,0,0,0,0.0,0.14638478348662556,5.6544724649622795,7.211865183470507,46.5,0.17416785796841666,0.7275125403779965,8.787438450359769
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,43,-62.87889881698292,6.583650877263751,108.39089160039428,289.50647165267753,0,0,0,0.0,0.1373198100440768,5.6978567796819855,4.620518233157777,47.5,0.043690103960789206,0.1472471421795179,1.8191194651024476
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,44,-73.89197243826446,7.433454137856143,105.51152569820141,321.43634722174306,0,0,0,0.0,0.16756447252818235,6.022718516964593,4.435646483113984,49.0,0.2309273292994173,0.9619331889867245,3.771605095531994
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,45,-59.00667209278124,6.3065531572601,101.88570658923958,314.7351509250341,0,0,0,0.0,0.13047190318138693,5.653388689596256,5.044256331250938,45.0,0.013859308609974457,0.7810677275902801,4.707780373841213
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,46,-61.76479194754583,6.323224536967666,111.08945218543877,300.51082075658303,0,0,0,0.0,0.13212729974258502,6.133170248100629,4.652291451463497,45.5,0.10475904409839373,0.4190637016039221,0.4932652596047278
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,47,-51.96304714390331,5.716256643523974,105.48725482883198,243.51236099239964,0,0,0,0.0,0.11057130233903506,5.528650590840858,4.621374680300565,43.5,0.08484187034825083,0.9298254316997815,8.187161049217837
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,48,-67.65596714838705,6.694976244731511,111.7479563268475,316.74892909696064,0,0,0,0.0,0.14937387455390813,6.25166726253784,6.500633760068609,46.5,0.06605271192777132,0.46606198978747754,0.7005543746084218
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,49,-73.34744873916367,7.090190582861321,111.91304070998993,318.35988153100317,0,0,0,0.0,0.16532527672771857,6.5624742097517705,4.357037112280882,50.0,0.20735878310572742,0.22062635110458817,10.18854779459987
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,50,-67.41619496951178,6.852390146024463,102.61304010724939,333.4268866878966,0,0,0,0.0,0.15406046870657136,5.790061826234731,6.033932066892519,50.5,0.35644394106436295,0.6987697115341999,0.06066894230267034
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,51,-58.352121111053954,6.17604451154046,101.88950341690261,312.80891783422373,0,0,0,0.0,0.12808745084910655,5.693627215989906,4.697188833377915,48.0,0.2181422343047309,0.40343296468476325,5.678465090027192
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,52,-60.91185989303131,6.238577889152415,106.21252850559803,307.76521209007313,0,0,0,0.0,0.13591306392625432,5.848154494211219,5.211362988653091,46.5,0.06100436694381549,0.5264201919232253,0.26543155190794376
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,53,-66.27836455301895,6.7839285591309935,100.96727343305835,341.21905955849496,0,0,0,0.0,0.15059780236212034,6.190032568021534,5.245106801451638,48.0,0.05935914457599474,0.8379798961068857,2.8460899653854055
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,54,-63.09109364178901,6.316870653398208,104.01350121906901,353.5751456699022,0,0,0,0.0,0.13968526952848706,6.239835051798058,5.7213327928376305,45.5,0.054239751340038674,0.9840766677033365,1.3480740630656265
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,55,-60.38534479875401,6.9345484217304145,90.1194441424511,299.32416417926015,0,0,0,0.0,0.13830487569507954,5.365148434536699,4.961897298246686,46.5,0.08720313860222648,0.2880210089872162,4.3155093093305315
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,56,-70.5817553428845,6.65507113594345,106.60970424053275,372.6165000923969,0,0,0,0.0,0.16251074022419668,6.279399161612592,5.668430098566334,49.5,0.13995376080068164,0.534898599343576,3.59274548881291
