seed,area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,events,burn,q_lambda,q_lambda_over_nominal,wait_jitter_rms_ns,wait_jitter_pkpk_ns,phase_spacing_std_ns,phase_spacing_pkpk_ns,avg_phase_current_A,current_share_rms_mA,current_share_pkpk_mA,current_snapshot_rms_mA,current_m2_projection_mA,vout_event_rms_mV,vout_event_pkpk_mV
10,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23117325247881587,1.3487367465611444,0.23122803565696343,1.3467856635059807,10.0000181 10.00015 9.99965754 9.9998731,0.18269986470799235,0.49244532936043584,2833.4857343579797,-0.08685700755028947,0.006892200194572102,0.02698591195959832
11,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2346876693459668,1.2254757784724746,0.23465668811446624,1.2249387351522028,9.99971877 9.99999421 10.0002489 10.0002798,0.22625859228628556,0.5610555919428606,2833.48473914286,-0.07659224192435587,0.008936439885835989,0.03180377284650593
12,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2334368357196119,1.2450933063441052,0.23350188604334188,1.2499700685335267,9.99997849 9.99995803 10.0003601 9.9999837,0.1677303447124411,0.40209946263125573,2833.4847252677314,0.0992227583513916,0.006368541815656027,0.027385909986188395
13,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.22228339022967003,1.1006978885575898,0.2222279984867831,1.1000488664082357,9.99988505 10.0004027 9.99952938 9.99999103,0.3113423729682816,0.873311919493247,2833.48632846154,-0.24482267308467698,0.006638312415783124,0.026729199307240492
14,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24087463990040767,1.4002736998690561,0.2408804526067224,1.4001582042390626,9.99990335 9.99983387 10.0005332 9.99978259,0.3032219963445528,0.7505779762198017,2833.482587768386,0.20501456616450753,0.00544491196884995,0.025227440644259858
15,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23632972627604243,1.3327549194200228,0.23634608703723914,1.332255273573537,10.0001255 10.0000477 9.99994577 10.0002849,0.12386077180816579,0.33915221446356725,2833.4864883819805,-0.06533212819048728,0.004833439287495131,0.019093790615265505
0,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6065219924102444,3.6699523973275023,0.60651735977157,3.6692459061225944,9.99998379 10.0003495 10.0001374 10.0001605,0.12984640048542684,0.3656787823604901,2833.485213833782,-0.09720596518336677,0.015923327694877316,0.07166606115371899
1,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5940220387966463,3.5796871632680483,0.5940569036013477,3.582498346892383,10.0003445 10.0003058 10.0001498 10.0002387,0.07387047847768975,0.19465399264362304,2833.4856838833093,-0.01255867656668741,0.014486216233374516,0.0598118627720412
2,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5849135202636262,4.117909993016692,0.584955339114232,4.121072154418961,10.0006672 10.0003651 10.0004996 10.0003863,0.1197875917269757,0.3020389874066609,2833.485679505959,0.10383758528709208,0.024084570780395942,0.08752097661235414
3,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6040349032654362,4.040470627803549,0.6040851040144212,4.040933708596977,10.0002012 9.9996985 9.99984363 9.99955723,0.23956269138325614,0.6439496036971804,2833.485469060236,0.19726890705085154,0.009001120751415457,0.03815960252062656
4,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5998257670369075,3.5277074747349406,0.5998262670244224,3.5273071870668073,9.99991686 10.0002186 9.99977526 9.9997006,0.19817345390185742,0.5180191518334709,2833.48588095106,-0.056776608655884075,0.014424072012354265,0.056147127192818225
5,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5868064914689879,3.578980761433957,0.5867021486139659,3.5786093443294473,9.99975644 9.99993783 10.0004028 10.0002001,0.2466588122370822,0.6463125658235924,2833.4843944941135,0.005320323373858571,0.010199682210447824,0.04325046636477481
6,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6362897504102204,3.899177498845609,0.6362410517672203,3.895928357554869,9.99970912 10.0002407 9.99955373 10.0003352,0.3344863541521422,0.7814483509012149,2833.4845414870288,-0.3282472797012659,0.0130450597175056,0.05936565843300823
7,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5864645033055771,3.418130413457487,0.5865500533929433,3.4214906875990776,10.0001008 10.0008192 9.99950803 10.0004436,0.4822168308186668,1.3111904044187384,2833.4848701684637,-0.4134807138362895,0.028597979152109668,0.09726627269990296
8,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6351416681654757,4.264244171691093,0.6352103938074898,4.267022925137559,10.0002231 10.000027 10.0000231 10.0004902,0.19082343334239962,0.4671070418993395,2833.4835592667246,-0.0677375870572483,0.015238579297563896,0.056235867445519894
9,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6056967354874084,3.470931463342487,0.6056874619719466,3.4737587918276187,9.99997363 9.99947303 9.9999432 9.99997833,0.21348031354620492,0.5052995174104069,2833.4848348150445,0.11637062163138978,0.01548917861673325,0.06248247478857216
10,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6108273673892821,3.797058573903563,0.6106971844086765,3.7991280990004506,10.0008618 10.0001535 9.99994618 10.0003367,0.3395705545721376,0.915652146025181,2833.485505301234,0.07943403792776138,0.014236786538929107,0.06820220611325478
11,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5805616736552354,3.8952594380860583,0.5805762771907724,3.8978700367697843,10.0004562 10.0002835 9.99999631 10.00009,0.17748995707399176,0.4598729423896941,2833.484643984823,0.019745772658730232,0.011784472981935537,0.053826457033445685
12,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5810601480896058,3.0422708154551175,0.5809311748664584,3.041932407979851,9.99967094 9.99913299 9.99996017 9.9998148,0.3126451854252739,0.8271780770012782,2833.484889562637,0.17083168156784012,0.020119399231040995,0.07373739812166491
13,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6049579688313855,3.884658634783552,0.6048772489319163,3.8826300098840973,9.99961747 10.0006251 9.99963869 10.0001635,0.4164735437515043,1.0075966519575985,2833.4854675186743,-0.38309070721620486,0.014688397513170559,0.06333993952079009
14,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6049725160502526,3.74501316302714,0.6050881710914947,3.746160527476226,9.99957411 10.0001142 10.0000378 9.99992102,0.20674055442437175,0.5401203945059052,2833.4844716676926,-0.10584192835816353,0.009599231502266546,0.0376024904152894
15,10,0.5,5,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6023342040767415,3.272418530095968,0.602356858988845,3.2716207425769523,10.0007093 9.9996099 10.0005677 9.99961779,0.5147779524997121,1.0993834962409466,2833.484207598395,0.5123318828328394,0.011107239246869951,0.052752439398062734
