variant,event_index,time_after_step_us,REQ_accept_phase,expected_phase,phase_order_error_event,phase_idx_sample,REQ_reject_reason_sample,phase_order_error_sample
R1-U2,88,36.1380000000001,2,2,0,1,0,0
R1-U2,89,36.6200000000001,3,3,0,2,0,0
R1-U2,90,37.1020000000001,4,4,0,3,0,0
R1-U2,91,37.5840000000001,1,1,0,0,0,0
R1-U2,92,38.0660000000001,2,2,0,1,0,0
R1-U2,93,38.548000000007,3,3,0,2,0,0
R1-U2,94,39.030000000007,4,4,0,3,0,0
R1-U2,95,39.5120000000069,1,1,0,0,0,0
R1-U2,96,39.9940000000069,2,2,0,1,0,0
R1-U2,97,40.4760000000069,3,3,0,2,0,0
R1-U2,98,40.9580000000069,4,4,0,3,0,0
R1-U2,99,41.4400000000069,1,1,0,0,0,0
R1-U2,100,41.9220000000069,2,2,0,1,0,0
R1-U2,101,42.4040000000069,3,3,0,2,0,0
R1-U2,102,42.8860000000069,4,4,0,3,0,0
R1-U2,103,43.368000000007,1,1,0,0,0,0
R1-U2,104,43.850000000007,2,2,0,1,0,0
R1-U2,105,44.3320000000069,3,3,0,2,0,0
R1-U2,106,44.8140000000069,4,4,0,3,0,0
R1-U2,107,45.2960000000069,1,1,0,0,0,0
R1-U2,108,45.7780000000069,2,2,0,1,0,0
R1-U2,109,46.2600000000069,3,3,0,2,0,0
R1-U2,110,46.7420000000069,4,4,0,3,0,0
R1-U2,111,47.2240000000069,1,1,0,0,0,0
R1-U2,112,47.7060000000069,2,2,0,1,0,0
R1-U2,113,48.1880000000069,3,3,0,2,0,0
R1-U2,114,48.6700000000069,4,4,0,3,0,0
R1-U2,115,49.1520000000069,1,1,0,0,0,0
R1-U2,116,49.6340000000069,2,2,0,1,0,0
R1-U2,117,50.1160000000069,3,3,0,2,0,0
R1-U2,118,50.5980000000069,4,4,0,3,0,0
R1-U2,119,51.0800000000069,1,1,0,0,0,0
R1-U2,120,51.5620000000069,2,2,0,1,0,0
R1-U2,121,52.0440000000069,3,3,0,2,0,0
R1-U2,122,52.5260000000069,4,4,0,3,0,0
R1-U2,123,53.0080000000069,1,1,0,0,0,0
R1-U2,124,53.4900000000069,2,2,0,1,0,0
R1-U2,125,53.9720000000069,3,3,0,2,0,0
R1-U2,126,54.4540000000069,4,4,0,3,0,0
R1-U2,127,54.9360000000069,1,1,0,0,0,0
R1-U2,128,55.4180000000069,2,2,0,1,0,0
R1-U2,129,55.9000000000069,3,3,0,2,0,0
R1-U2,130,56.3820000000069,4,4,0,3,0,0
R1-U2,131,56.8640000000069,1,1,0,0,0,0
R1-U2,132,57.3460000000069,2,2,0,1,0,0
R1-U2,133,57.8280000000069,3,3,0,2,0,0
R1-U2,134,58.3100000000069,4,4,0,3,0,0
R1-U2,135,58.7920000000069,1,1,0,0,0,0
R1-U2,136,59.2740000000069,2,2,0,1,0,0
R1-U2,137,59.7560000000069,3,3,0,2,0,0
R1-U2,138,60.2380000000069,4,4,0,3,0,0
R1-U2,139,60.7200000000069,1,1,0,0,0,0
R1-U2,140,61.2020000000069,2,2,0,1,0,0
R1-U2,141,61.6840000000069,3,3,0,2,0,0
R1-U2,142,62.1660000000069,4,4,0,3,0,0
R1-U2,143,62.6480000000069,1,1,0,0,0,0
R1-U2,144,63.1300000000069,2,2,0,1,0,0
R1-U2,145,63.6120000000069,3,3,0,2,0,0
R1-U2,146,64.0940000000069,4,4,0,3,0,0
R1-U2,147,64.5760000000069,1,1,0,0,0,0
R1-U2,148,65.0580000000069,2,2,0,1,0,0
R1-U2,149,65.5400000000069,3,3,0,2,0,0
R1-U2,150,66.0220000000069,4,4,0,3,0,0
R1-U2,151,66.5040000000069,1,1,0,0,0,0
R1-U2,152,66.9860000000069,2,2,0,1,0,0
R1-U2,153,67.4680000000069,3,3,0,2,0,0
R1-U2,154,67.9500000000069,4,4,0,3,0,0
R1-U2,155,68.4320000000069,1,1,0,0,0,0
R1-U2,156,68.9140000000069,2,2,0,1,0,0
R1-U2,157,69.3960000000069,3,3,0,2,0,0
R1-U2,158,69.8780000000069,4,4,0,3,0,0
R1-U2,159,70.3600000000069,1,1,0,0,0,0
R1-U2,160,70.8420000000069,2,2,0,1,0,0
R1-U2,161,71.3240000000069,3,3,0,2,0,0
R1-U2,162,71.8060000000069,4,4,0,3,0,0
R1-U2,163,72.2880000000069,1,1,0,0,0,0
R1-U2,164,72.7700000000069,2,2,0,1,0,0
R1-U2,165,73.2520000000069,3,3,0,2,0,0
R1-U2,166,73.7340000000069,4,4,0,3,0,0
